,idframe,RMSD,state
0,0,5.773641890826425,inactive
1,1,5.733651455664811,inactive
2,2,5.404958695880052,inactive
3,3,5.29853247518968,inactive
4,4,6.271720542985763,inactive
5,5,6.298421869940193,inactive
6,6,6.166506600941375,inactive
7,7,6.829500909400904,inactive
8,8,6.24220454107947,inactive
9,9,6.7771037564277385,inactive
10,10,7.00666575168188,inactive
11,11,7.788239454420035,inactive
12,12,6.839847224370167,inactive
13,13,7.377190234310075,inactive
14,14,7.134435817388524,inactive
15,15,6.56863435725318,inactive
16,16,6.236217309289701,inactive
17,17,7.016636221210853,inactive
18,18,7.59641776017705,inactive
19,19,8.178537708379448,inactive
20,20,7.303774451553902,inactive
21,21,7.765388875468757,inactive
22,22,6.545397290212125,inactive
23,23,5.889401088010157,inactive
24,24,5.567719062280478,inactive
25,25,6.828402340575824,inactive
26,26,7.974552456933992,inactive
27,27,7.338287592388423,inactive
28,28,8.250913197509803,inactive
29,29,7.5836657228852395,inactive
30,30,7.216449993005063,inactive
31,31,7.7161144261266825,inactive
32,32,7.128069110309392,inactive
33,33,8.332493770668325,inactive
34,34,7.256701919249969,inactive
35,35,7.019474426047983,inactive
36,36,7.187406160472491,inactive
37,37,6.87548425807532,inactive
38,38,6.189260321288274,inactive
39,39,6.337440441814264,inactive
40,40,6.245992152737166,inactive
41,41,5.881183428958976,inactive
42,42,6.359131067722941,inactive
43,43,6.630772241121134,inactive
44,44,5.70060893876584,inactive
45,45,5.588977493921486,inactive
46,46,5.231255454759017,inactive
47,47,5.4688536612845775,inactive
48,48,5.226502506460246,inactive
49,49,5.054447511820206,inactive
50,50,4.958206401263394,inactive
51,51,4.880678840469348,inactive
52,52,5.110807073914368,inactive
53,53,5.123051184886025,inactive
54,54,4.853617846497087,inactive
55,55,5.265150521656395,inactive
56,56,5.367714024412103,inactive
57,57,5.362337768433263,inactive
58,58,5.456901324997904,inactive
59,59,5.493410277899122,inactive
60,60,5.458338277100036,inactive
61,61,5.52291087516146,inactive
62,62,5.436401607757709,inactive
63,63,5.219971513642071,inactive
64,64,5.473865964888203,inactive
65,65,5.815038182299785,inactive
66,66,5.958924015859813,inactive
67,67,5.505262600558071,inactive
68,68,5.250566865488618,inactive
69,69,4.85048932456538,inactive
70,70,5.706783988484655,inactive
71,71,5.146927513571847,inactive
72,72,5.43324549395912,inactive
73,73,4.516894288108234,inactive
74,74,4.270699050370019,inactive
75,75,4.1733757585041165,inactive
76,76,4.052894853777359,inactive
77,77,5.202520423005805,inactive
78,78,4.839283523520873,inactive
79,79,5.1028409318988235,inactive
80,80,4.616834561521812,inactive
81,81,5.2572922597908915,inactive
82,82,5.682959795825624,inactive
83,83,6.065293973333496,inactive
84,84,5.8271883158368345,inactive
85,85,5.435303506179599,inactive
86,86,5.928745444716908,inactive
87,87,5.743357100124011,inactive
88,88,6.122559624957405,inactive
89,89,5.5302042796280535,inactive
90,90,5.937110987622303,inactive
91,91,5.40605852554403,inactive
92,92,5.547550091216806,inactive
93,93,5.2895615257273825,inactive
94,94,5.591943302006482,inactive
95,95,6.0688041146260465,inactive
96,96,5.608236328541022,inactive
97,97,6.092520393187857,inactive
98,98,5.683014377170658,inactive
99,99,5.903001591060722,inactive
100,100,5.714961134777485,inactive
101,101,6.596040701679538,inactive
102,102,5.590062802129286,inactive
103,103,5.401699865344596,inactive
104,104,5.776364294771548,inactive
105,105,6.198080578567414,inactive
106,106,6.305910563105791,inactive
107,107,6.297932573475042,inactive
108,108,6.0104692365861245,inactive
109,109,6.002003314489839,inactive
110,110,6.412908569105692,inactive
111,111,6.073657076941236,inactive
112,112,6.472892918342912,inactive
113,113,7.00057343330662,inactive
114,114,6.95520530440792,inactive
115,115,7.230019066520654,inactive
116,116,6.214283762143367,inactive
117,117,5.900620561884043,inactive
118,118,6.385792717361299,inactive
119,119,5.68012786040251,inactive
120,120,5.293435205142176,inactive
121,121,5.442661669776613,inactive
122,122,5.355521375784915,inactive
123,123,5.4936744822964165,inactive
124,124,5.518777473560231,inactive
125,125,4.764928380451365,inactive
126,126,5.558249014529896,inactive
127,127,5.272938310341986,inactive
128,128,6.191763634847401,inactive
129,129,6.70233618389397,inactive
130,130,5.656776585897604,inactive
131,131,6.071735507365356,inactive
132,132,6.3714085203602835,inactive
133,133,6.236957433115745,inactive
134,134,6.229651071303603,inactive
135,135,6.3414254487001624,inactive
136,136,6.180182599202658,inactive
137,137,5.864017496861158,inactive
138,138,6.143701156435714,inactive
139,139,6.280566926702578,inactive
140,140,5.780132203135978,inactive
141,141,5.595932523118141,inactive
142,142,5.644240700817842,inactive
143,143,5.951716337053575,inactive
144,144,5.497808827005485,inactive
145,145,5.118617192700152,inactive
146,146,4.50041331622576,inactive
147,147,5.153289369057574,inactive
148,148,5.359202257710901,inactive
149,149,4.868085922031713,inactive
150,150,4.986438779937223,inactive
151,151,4.9165281353496955,inactive
152,152,4.779527181715833,inactive
153,153,4.915330004238132,inactive
154,154,4.411358257850784,inactive
155,155,4.698615190234853,inactive
156,156,5.052355150046836,inactive
157,157,4.86368848228084,inactive
158,158,4.833114775464867,inactive
159,159,4.715066226412568,inactive
160,160,5.101336422225901,inactive
161,161,5.24976055183979,inactive
162,162,5.417985516371976,inactive
163,163,5.720423121763788,inactive
164,164,6.127464617975706,inactive
165,165,6.754684068447173,inactive
166,166,6.9516343405660885,inactive
167,167,6.767693963761878,inactive
168,168,6.527382071879697,inactive
169,169,5.941539885658497,inactive
170,170,5.8906973410042385,inactive
171,171,6.594323402881553,inactive
172,172,5.9939679346009545,inactive
173,173,7.287859053081007,inactive
174,174,8.113488521696311,inactive
175,175,7.379338686224055,inactive
176,176,8.250441917801583,inactive
177,177,7.832962282332635,inactive
178,178,8.758526587364232,transition
179,179,8.761480459421978,transition
180,180,8.492666716196752,inactive
181,181,7.3901378257487655,inactive
182,182,7.513925788807699,inactive
183,183,8.504710901378969,transition
184,184,8.753287359355637,transition
185,185,8.543309734069389,transition
186,186,7.9287581915838885,inactive
187,187,8.16385020942781,inactive
188,188,8.693745891237993,transition
189,189,8.521762102082464,transition
190,190,7.974122406121968,inactive
191,191,9.069930914005619,transition
192,192,7.676768695835283,inactive
193,193,6.1478319460178845,inactive
194,194,5.9948345037263016,inactive
195,195,7.3006458430917345,inactive
196,196,6.213266501131161,inactive
197,197,7.2670488217303575,inactive
198,198,8.548881494640199,transition
199,199,8.407449720761662,inactive
200,200,8.446841843720593,inactive
201,201,8.794503294312323,transition
202,202,8.471340180737798,inactive
203,203,8.474114618047832,inactive
204,204,10.532944627735528,transition
205,205,8.704686042466026,transition
206,206,8.435225794811421,inactive
207,207,9.094750124785945,transition
208,208,8.847623773231268,transition
209,209,7.908605753864785,inactive
210,210,8.71800644705947,transition
211,211,8.110495392201987,inactive
212,212,8.534172430307418,transition
213,213,9.18012983074709,transition
214,214,8.45943247358661,inactive
215,215,7.875593748256937,inactive
216,216,8.202769454135204,inactive
217,217,8.010621482130782,inactive
218,218,8.584142314102294,transition
219,219,8.060719534174847,inactive
220,220,7.526712962501472,inactive
221,221,7.765757785216722,inactive
222,222,8.469023520261358,inactive
223,223,7.514498795562327,inactive
224,224,8.257310872731017,inactive
225,225,7.596248108901548,inactive
226,226,8.776769991345372,transition
227,227,10.01676723010787,transition
228,228,10.077789265423979,transition
229,229,8.545055265808905,transition
230,230,7.761088422843481,inactive
231,231,9.640416062125942,transition
232,232,8.913206562921237,transition
233,233,9.019690089245497,transition
234,234,10.452896435605243,transition
235,235,9.102129463156773,transition
236,236,8.833765097179432,transition
237,237,9.356341817258969,transition
238,238,9.985153104029774,transition
239,239,8.522896761846116,transition
240,240,7.557085337697116,inactive
241,241,6.795002185536096,inactive
242,242,7.283926309394226,inactive
243,243,6.803369605299989,inactive
244,244,7.622743705350483,inactive
245,245,7.184988484716976,inactive
246,246,7.003142367600462,inactive
247,247,6.719258180704484,inactive
248,248,8.572712094975605,transition
249,249,7.821036552077497,inactive
250,250,7.237059436094221,inactive
251,251,7.180907802502854,inactive
252,252,7.333055899920572,inactive
253,253,7.007808671545066,inactive
254,254,6.881461983442547,inactive
255,255,6.633156013735704,inactive
256,256,8.07625612284464,inactive
257,257,8.274029239992023,inactive
258,258,7.308086246363603,inactive
259,259,7.205825856547751,inactive
260,260,8.393596069850739,inactive
261,261,7.065491872333057,inactive
262,262,6.492858332659814,inactive
263,263,7.2357682154017375,inactive
264,264,6.43786107581263,inactive
265,265,6.5980573724743,inactive
266,266,7.147493534063499,inactive
267,267,7.739943037815982,inactive
268,268,7.2917612478482905,inactive
269,269,6.638698534539308,inactive
270,270,7.3779600058933665,inactive
271,271,8.1012748211016,inactive
272,272,6.929920856818007,inactive
273,273,7.0598419256888185,inactive
274,274,7.540887902969918,inactive
275,275,8.13243993411988,inactive
276,276,9.180415289263657,transition
277,277,8.587617585924358,transition
278,278,7.901227506920253,inactive
279,279,8.4209115183309,inactive
280,280,8.847662740744381,transition
281,281,7.951369991624969,inactive
282,282,7.547959246883776,inactive
283,283,7.344120727214325,inactive
284,284,8.027413715132441,inactive
285,285,8.329082114062919,inactive
286,286,7.462981607517477,inactive
287,287,6.590270500923335,inactive
288,288,7.0325246235658945,inactive
289,289,6.67520898709795,inactive
290,290,6.747412882156201,inactive
291,291,6.7805166049121866,inactive
292,292,5.847066540263449,inactive
293,293,5.224722343213548,inactive
294,294,6.143949747905197,inactive
295,295,5.398355192564649,inactive
296,296,5.5596780173005245,inactive
297,297,5.800928982387073,inactive
298,298,5.749279383893682,inactive
299,299,6.408755768620562,inactive
300,300,5.980748415740916,inactive
301,301,6.432336666962209,inactive
302,302,6.294614866276017,inactive
303,303,5.628405617740751,inactive
304,304,6.573886006565797,inactive
305,305,6.419202196445975,inactive
306,306,6.623341673475334,inactive
307,307,7.127707348275427,inactive
308,308,9.035307843211008,transition
309,309,7.807788168923928,inactive
310,310,8.710776507635444,transition
